_id,centerName,courses[0].course,courses[1].course,courses[2].course,courses[3].course,courses[4].course,courses[5].course,courses[6].course,courses[7].course,courses[8].course,courses[9].course,courses[10].course,courses[11].course,courses[12].course,courses[13].course,courses[14].course,courses[15].course,courses[16].course,courses[17].course,courses[18].course,courses[19].course,courses[20].course,courses[21].course,courses[22].course,courses[23].course,courses[24].course,courses[25].course,courses[26].course,courses[27].course,courses[28].course,courses[29].course,courses[30].course,courses[31].course,courses[32].course,courses[33].course,courses[34].course,courses[35].course,courses[36].course,courses[37].course,courses[38].course,courses[39].course,courses[40].course,courses[41].course,courses[42].course,courses[43].course,courses[44].course,courses[45].course,courses[46].course,courses[47].course,courses[48].course,courses[49].course,courses[50].course,courses[51].course,courses[52].course,courses[0].centerFees,courses[1].centerFees,courses[2].centerFees,courses[3].centerFees,courses[4].centerFees,courses[5].centerFees,courses[6].centerFees,courses[7].centerFees,courses[8].centerFees,courses[9].centerFees,courses[10].centerFees,courses[11].centerFees,courses[12].centerFees,courses[13].centerFees,courses[14].centerFees,courses[15].centerFees,courses[16].centerFees,courses[17].centerFees,courses[18].centerFees,courses[19].centerFees,courses[20].centerFees,courses[21].centerFees,courses[22].centerFees,courses[23].centerFees,courses[24].centerFees,courses[25].centerFees,courses[26].centerFees,courses[27].centerFees,courses[28].centerFees,courses[29].centerFees,courses[30].centerFees,courses[31].centerFees,courses[32].centerFees,courses[33].centerFees,courses[34].centerFees,courses[35].centerFees,courses[36].centerFees,courses[37].centerFees,courses[38].centerFees,courses[39].centerFees,courses[40].centerFees,courses[41].centerFees,courses[42].centerFees,courses[43].centerFees,courses[44].centerFees,courses[45].centerFees,courses[46].centerFees,courses[47].centerFees,courses[48].centerFees,courses[49].centerFees,courses[50].centerFees,courses[51].centerFees,courses[52].centerFees,courses[0]._id,courses[1]._id,courses[2]._id,courses[3]._id,courses[4]._id,courses[5]._id,courses[6]._id,courses[7]._id,courses[8]._id,courses[9]._id,courses[10]._id,courses[11]._id,courses[12]._id,courses[13]._id,courses[14]._id,courses[15]._id,courses[16]._id,courses[17]._id,courses[18]._id,courses[19]._id,courses[20]._id,courses[21]._id,courses[22]._id,courses[23]._id,courses[24]._id,courses[25]._id,courses[26]._id,courses[27]._id,courses[28]._id,courses[29]._id,courses[30]._id,courses[31]._id,courses[32]._id,courses[33]._id,courses[34]._id,courses[35]._id,courses[36]._id,courses[37]._id,courses[38]._id,courses[39]._id,courses[40]._id,courses[41]._id,courses[42]._id,courses[43]._id,courses[44]._id,courses[45]._id,courses[46]._id,courses[47]._id,courses[48]._id,courses[49]._id,courses[50]._id,courses[51]._id,courses[52]._id,__v
66a0b5448df21d86447017f8,DWK,66a0b49fe0d0097d1f9a82f0,66a0b49fe0d0097d1f9a82f2,66a0b49fe0d0097d1f9a82f3,66a0b49fe0d0097d1f9a82f4,66a0b49fe0d0097d1f9a82f5,66a0b49fe0d0097d1f9a82f6,66a0b49fe0d0097d1f9a82f7,66a0b49fe0d0097d1f9a82f8,66a0b49fe0d0097d1f9a82f9,66a0b49fe0d0097d1f9a82fa,66a0b49fe0d0097d1f9a82fb,66a0b49fe0d0097d1f9a82fc,66a0b49fe0d0097d1f9a82fd,66a0b49fe0d0097d1f9a82fe,66a0b49fe0d0097d1f9a82ff,66a0b49fe0d0097d1f9a8300,66a0b49fe0d0097d1f9a8301,66a0b49fe0d0097d1f9a8302,66a0b49fe0d0097d1f9a8303,66a0b49fe0d0097d1f9a8304,66a0b49fe0d0097d1f9a8305,66a0b49fe0d0097d1f9a8306,66a0b49fe0d0097d1f9a8307,66a0b49fe0d0097d1f9a8308,66a0b49fe0d0097d1f9a8309,66a0b49fe0d0097d1f9a830a,66a0b49fe0d0097d1f9a830b,66a0b49fe0d0097d1f9a830c,66a0b49fe0d0097d1f9a830e,66a0b49fe0d0097d1f9a830f,66a0b49fe0d0097d1f9a8310,66a0b49fe0d0097d1f9a8311,66a0b49fe0d0097d1f9a8312,66a0b49fe0d0097d1f9a8313,66a0b49fe0d0097d1f9a8315,66a0b49fe0d0097d1f9a8319,66a0b49fe0d0097d1f9a831a,66a0b49fe0d0097d1f9a831b,66a0b49fe0d0097d1f9a831e,66a0b49fe0d0097d1f9a831f,66a0b49fe0d0097d1f9a8320,66a0b49fe0d0097d1f9a8321,66a0b49fe0d0097d1f9a8323,66a0b49fe0d0097d1f9a8324,66a0b49fe0d0097d1f9a8325,,,,,,,,,20000,8000,6000,12000,12000,5000,6000,6000,12000,15000,15000,15000,50000,7500,15000,15000,50000,15000,15000,50000,10000,6000,8000,6000,8000,15000,40000,5000,150000,6000,12000,25000,6000,8000,12000,75000,15000,15000,6000,8000,15000,25000,15000,20000,20000,,,,,,,,,66a1d394312f4b53b0e673db,66a1d3e4312f4b53b0e673df,66a1d400312f4b53b0e673e4,66a1d41d312f4b53b0e673ea,66a1d43b312f4b53b0e673f1,66a1d451312f4b53b0e673f9,66a1d462312f4b53b0e67402,66a1d494312f4b53b0e6740c,66a1d4a5312f4b53b0e67417,66a1d4dc312f4b53b0e67423,66a1d4ec312f4b53b0e67430,66a1d515312f4b53b0e6743e,66a1d529312f4b53b0e6744d,66a1d53b312f4b53b0e6745d,66a1d54f312f4b53b0e6746e,66a1d561312f4b53b0e67480,66a1d572312f4b53b0e67493,66a1d588312f4b53b0e674a7,66a1d599312f4b53b0e674bc,66a1eefb312f4b53b0e674e1,66a1ef0d312f4b53b0e674f8,66a1ef1e312f4b53b0e67510,66a1ef2d312f4b53b0e67529,66a1ef62312f4b53b0e67543,66a1ef84312f4b53b0e6755e,66a1ef96312f4b53b0e6757a,66a1efa5312f4b53b0e67597,66a1efb7312f4b53b0e675b5,66a1efc8312f4b53b0e675d4,66a1efd6312f4b53b0e675f4,66a1eff1312f4b53b0e67615,66a1f001312f4b53b0e67637,66a1f3e1312f4b53b0e6765a,66a1f3f2312f4b53b0e6767e,66a1f405312f4b53b0e676a3,66a1f41e312f4b53b0e676c9,66a1f431312f4b53b0e676f0,66a1f447312f4b53b0e67718,66a1f459312f4b53b0e67741,66a1f467312f4b53b0e6776b,66a1f48c312f4b53b0e67796,66a1fc4e312f4b53b0e677c2,66a1fc62312f4b53b0e677ef,66a1fc72312f4b53b0e6781d,66a1fc82312f4b53b0e6784c,,,,,,,,,58
66a0d2441467527b4f300ee7,MVP,66a0b49fe0d0097d1f9a82f2,66a0b49fe0d0097d1f9a82f0,66a0b49fe0d0097d1f9a82f1,66a0b49fe0d0097d1f9a82f3,66a0b49fe0d0097d1f9a82f4,66a0b49fe0d0097d1f9a82f5,66a0b49fe0d0097d1f9a82f6,66a0b49fe0d0097d1f9a8306,66a0b49fe0d0097d1f9a8308,66a0b49fe0d0097d1f9a830c,66a0b49fe0d0097d1f9a8322,66a0b49fe0d0097d1f9a8315,66a0b49fe0d0097d1f9a82f7,66a0b49fe0d0097d1f9a8313,66a0b49fe0d0097d1f9a8319,66a0b49fe0d0097d1f9a82fb,66a0b49fe0d0097d1f9a8325,66a0b49fe0d0097d1f9a82fe,66a0b49fe0d0097d1f9a82ff,66a0b49fe0d0097d1f9a831e,66a0b49fe0d0097d1f9a82f8,66a0b49fe0d0097d1f9a82fc,66a0b49fe0d0097d1f9a8302,66a0b49fe0d0097d1f9a8300,66a0b49fe0d0097d1f9a82fa,66a0b49fe0d0097d1f9a8301,66a0b49fe0d0097d1f9a8303,66a0b49fe0d0097d1f9a830b,66a0b49fe0d0097d1f9a8305,66a0b49fe0d0097d1f9a830f,66a0b49fe0d0097d1f9a82fd,66a0b49fe0d0097d1f9a8310,66a0b49fe0d0097d1f9a831f,66a0b49fe0d0097d1f9a8324,66a0b49fe0d0097d1f9a8309,66a0b49fe0d0097d1f9a8317,66a0b49fe0d0097d1f9a8312,66a0b49fe0d0097d1f9a8316,66a0b49fe0d0097d1f9a8320,66a0b49fe0d0097d1f9a8323,66a0b49fe0d0097d1f9a830d,66a0b49fe0d0097d1f9a8311,66a0b49fe0d0097d1f9a8314,66a0b49fe0d0097d1f9a831a,66a0b49fe0d0097d1f9a831d,66a0b49fe0d0097d1f9a82f9,66a0b49fe0d0097d1f9a830a,66a0b49fe0d0097d1f9a8304,66a0b49fe0d0097d1f9a831b,66a0b49fe0d0097d1f9a8321,66a0b49fe0d0097d1f9a830e,66a0b49fe0d0097d1f9a831c,,9000,28000,7000,6000,10000,10000,5000,8000,6000,5000,9000,15000,5000,9000,10000,18000,20000,7000,14000,10000,8000,15000,15000,15000,15000,50000,14000,40000,14000,8000,40000,12000,9000,25000,8000,8000,6000,18000,15000,6000,18000,22000,12000,15000,6000,18000,12000,40000,15000,18000,150000,18000,,66a87963c132fd2904ae3b1c,66a879a1c132fd2904ae3b20,66a879cec132fd2904ae3b25,66a879edc132fd2904ae3b2e,66a87a50c132fd2904ae3bb2,66a87a66c132fd2904ae3bba,66a87a7fc132fd2904ae3bc3,66a87b13c132fd2904ae3bd7,66a87b31c132fd2904ae3be2,66a87b4ec132fd2904ae3bee,66a87b9dc132fd2904ae3c01,66a87bbcc132fd2904ae3c11,66a87bdfc132fd2904ae3c22,66a87c06c132fd2904ae3c32,66a87c31c132fd2904ae3c43,66a8cd88c132fd2904ae3e1e,66a8cdc8c132fd2904ae3e33,66a8cde5c132fd2904ae3e47,66a8ce0cc132fd2904ae3e5c,66a8ce28c132fd2904ae3e72,66a8ce73c132fd2904ae3e8b,66a8ce8bc132fd2904ae3ea3,66a8ceb0c132fd2904ae3ebc,66a8cec5c132fd2904ae3ed6,66a8ced7c132fd2904ae3ef1,66a8ceebc132fd2904ae3f0d,66a8cf00c132fd2904ae3f2a,66a8cf13c132fd2904ae3f48,66a8d110c132fd2904ae3f79,66a8d128c132fd2904ae3f99,66a8d13fc132fd2904ae3fba,66a8d15fc132fd2904ae3fdc,66a8d24ec132fd2904ae40cc,66a8d264c132fd2904ae40f0,66a8d287c132fd2904ae4117,66a8d2acc132fd2904ae413d,66a8d2cac132fd2904ae4164,66a8d2e3c132fd2904ae418c,66a8d2fbc132fd2904ae41b5,66a8d30fc132fd2904ae41e0,66a8d32fc132fd2904ae420c,66a8d350c132fd2904ae4238,66a8d368c132fd2904ae4265,66a8d385c132fd2904ae4293,66a8d39ec132fd2904ae42c2,66a8d3e2c132fd2904ae42fa,66a8d406c132fd2904ae432d,66a8d422c132fd2904ae4361,66a8d43bc132fd2904ae4394,66a8d454c132fd2904ae43ca,66a8d48ac132fd2904ae43ff,66a8d4a6c132fd2904ae4435,,59
66a34eef04ac0b8ac79b3169,GWK,66a0b49fe0d0097d1f9a82f1,66a0b49fe0d0097d1f9a82f2,66a0b49fe0d0097d1f9a82f3,66a0b49fe0d0097d1f9a82f4,66a0b49fe0d0097d1f9a82f5,66a0b49fe0d0097d1f9a82f7,66a0b49fe0d0097d1f9a82f6,66a0b49fe0d0097d1f9a82f6,66a0b49fe0d0097d1f9a82f8,66a0b49fe0d0097d1f9a82f9,66a0b49fe0d0097d1f9a82fa,66a0b49fe0d0097d1f9a82fb,66a0b49fe0d0097d1f9a82fc,66a0b49fe0d0097d1f9a82fd,66a0b49fe0d0097d1f9a82fe,66a0b49fe0d0097d1f9a82ff,66a0b49fe0d0097d1f9a8300,66a0b49fe0d0097d1f9a8301,66a0b49fe0d0097d1f9a8302,66a0b49fe0d0097d1f9a8303,66a0b49fe0d0097d1f9a8304,66a0b49fe0d0097d1f9a8305,66a0b49fe0d0097d1f9a8306,66a0b49fe0d0097d1f9a8307,66a0b49fe0d0097d1f9a8308,66a0b49fe0d0097d1f9a8309,66a0b49fe0d0097d1f9a830a,66a0b49fe0d0097d1f9a830b,66a0b49fe0d0097d1f9a830c,66a0b49fe0d0097d1f9a830d,66a0b49fe0d0097d1f9a830e,66a0b49fe0d0097d1f9a830f,66a0b49fe0d0097d1f9a8310,66a0b49fe0d0097d1f9a8311,66a0b49fe0d0097d1f9a8312,66a0b49fe0d0097d1f9a8313,66a0b49fe0d0097d1f9a8314,66a0b49fe0d0097d1f9a8315,66a0b49fe0d0097d1f9a8316,66a0b49fe0d0097d1f9a8317,66a0b49fe0d0097d1f9a8319,66a0b49fe0d0097d1f9a831a,66a0b49fe0d0097d1f9a831b,66a0b49fe0d0097d1f9a831c,66a0b49fe0d0097d1f9a831d,66a0b49fe0d0097d1f9a831e,66a0b49fe0d0097d1f9a831f,66a0b49fe0d0097d1f9a8320,66a0b49fe0d0097d1f9a8321,66a0b49fe0d0097d1f9a8322,66a0b49fe0d0097d1f9a8323,66a0b49fe0d0097d1f9a8324,66a0b49fe0d0097d1f9a8325,6000,8000,5000,10000,10000,5000,5000,5000,6000,15000,15000,15000,15000,40000,7000,14000,15000,50000,15000,15000,40000,12000,7500,7500,5000,8000,12000,40000,4000,15000,120000,7500,12000,22000,6000,10000,12000,15000,15000,9000,9000,15000,12000,18000,6000,10000,9000,13000,15000,9000,6000,25000,20000,66a8d99fc132fd2904ae459b,66a8d9ddc132fd2904ae45bc,66a8d9f5c132fd2904ae45c2,66a8da18c132fd2904ae45c9,66a8da3dc132fd2904ae45d1,66a8da7ac132fd2904ae45de,66a8da83c132fd2904ae4602,66a8da83c132fd2904ae45f9,66a8da9bc132fd2904ae461a,66a8daaec132fd2904ae4627,66a8daf4c132fd2904ae4641,66a8db1dc132fd2904ae4650,66a8db48c132fd2904ae4664,66a8db61c132fd2904ae4677,66a8db78c132fd2904ae468b,66a8dbadc132fd2904ae46a0,66a8dbc7c132fd2904ae46b6,66a8dbd8c132fd2904ae46cb,66a8dbefc132fd2904ae46e1,66a8dc03c132fd2904ae46fc,66a8dc18c132fd2904ae4714,66a8dc47c132fd2904ae472d,66a8dc5ec132fd2904ae4747,66a8dc6ec132fd2904ae4762,66a8dc80c132fd2904ae4784,66a8dc95c132fd2904ae47a1,66a8dcacc132fd2904ae47bf,66a8dcbbc132fd2904ae47de,66a8dcdcc132fd2904ae4800,66a8dd37c132fd2904ae48a5,66a8dd54c132fd2904ae48c7,66a8dd7fc132fd2904ae4958,66a8dd9cc132fd2904ae497c,66a8ddb7c132fd2904ae4a10,66a8ddd4c132fd2904ae4b94,66a8ddeac132fd2904ae4bbb,66a8de03c132fd2904ae4c34,66a8de1cc132fd2904ae4c5d,66a8de37c132fd2904ae4c87,66a8de4dc132fd2904ae4cb2,66a8de63c132fd2904ae4cde,66a8de7fc132fd2904ae4d0b,66a8de97c132fd2904ae4d3b,66a8ded2c132fd2904ae4e46,66a8dee7c132fd2904ae4e76,66a8df9fc132fd2904ae4ea9,66a8dfaec132fd2904ae4edb,66a8dfffc132fd2904ae4f0e,66a8e011c132fd2904ae4f42,66a8e020c132fd2904ae4f77,66a8e031c132fd2904ae4fad,66a8e045c132fd2904ae4fe4,66a8e054c132fd2904ae501c,66
